Name,Business Value,Specialty Popularity,Attention Heat,Predicted Heat,Carrying Capacity,V Index,Weibo fans(w),Weibo hypertalk(w),Group friend,Classes,Genders
158,74.08 ,72.65 ,66.36 ,80.87 ,75.61 ,73.89 ,735.70 ,19.30 ,2413.00 ,1.00 ,0.00 
159,74.06 ,65.10 ,69.37 ,72.83 ,76.50 ,80.68 ,797.70 ,3.60 ,1254.00 ,1.00 ,0.00 
160,73.99 ,73.94 ,67.17 ,74.89 ,76.89 ,86.17 ,2428.00 ,21.30 ,4694.00 ,1.00 ,1.00 
161,73.89 ,59.55 ,77.76 ,37.45 ,80.97 ,93.98 ,2173.50 ,3085.00 ,1.50 ,2.00 ,1.00 
162,73.82 ,31.95 ,78.23 ,56.96 ,77.55 ,64.87 ,3439.20 ,171.00 ,4390.00 ,1.00 ,0.00 
163,73.81 ,83.83 ,67.60 ,75.29 ,67.05 ,79.47 ,5309.30 ,23.20 ,1157.00 ,1.00 ,1.00 
164,73.77 ,82.82 ,69.66 ,72.94 ,61.60 ,81.60 ,1307.10 ,10.80 ,5781.00 ,1.00 ,1.00 
165,73.75 ,74.64 ,64.24 ,90.77 ,70.78 ,50.83 ,1085.20 ,23.70 ,3735.00 ,1.00 ,1.00 
166,73.74 ,67.76 ,71.84 ,57.21 ,78.44 ,86.75 ,2517.10 ,229.00 ,1.10 ,2.00 ,1.00 
167,73.70 ,53.75 ,76.55 ,67.81 ,58.06 ,67.71 ,2634.40 ,19.50 ,1298.00 ,1.00 ,0.00 
168,73.60 ,62.32 ,72.76 ,78.91 ,55.81 ,84.50 ,2549.20 ,23.20 ,7072.00 ,1.00 ,1.00 
169,73.40 ,58.40 ,75.40 ,50.33 ,75.14 ,92.14 ,1416.60 ,15.10 ,1179.00 ,1.00 ,0.00 
170,73.33 ,62.21 ,68.73 ,73.24 ,75.95 ,79.75 ,1011.80 ,4.80 ,862.00 ,1.00 ,0.00 
171,73.01 ,52.87 ,69.57 ,75.43 ,74.60 ,80.31 ,1080.00 ,39.00 ,4380.00 ,1.00 ,1.00 
172,73.00 ,70.96 ,66.97 ,80.19 ,68.12 ,68.70 ,484.60 ,3.30 ,3782.00 ,1.00 ,0.00 
173,72.88 ,85.03 ,70.05 ,72.47 ,53.37 ,81.40 ,4574.10 ,12.60 ,3397.00 ,1.00 ,1.00 
174,72.69 ,74.70 ,73.32 ,68.78 ,49.65 ,,,,,1.00 ,1.00 
175,72.67 ,67.58 ,69.73 ,60.51 ,76.96 ,58.94 ,2375.90 ,134.00 ,13000.00 ,2.00 ,1.00 
176,72.62 ,65.99 ,77.12 ,25.66 ,82.99 ,91.37 ,2365.70 ,923.00 ,16000.00 ,2.00 ,0.00 
177,72.52 ,69.64 ,69.71 ,62.72 ,72.48 ,86.15 ,7242.00 ,173.00 ,2909.00 ,1.00 ,1.00 
178,72.43 ,83.62 ,73.66 ,54.55 ,54.95 ,51.85 ,11900.00 ,14.40 ,7964.00 ,1.00 ,1.00 
179,72.41 ,71.59 ,66.08 ,70.07 ,77.63 ,84.95 ,3201.10 ,129.00 ,1253.00 ,1.00 ,1.00 
180,72.33 ,54.77 ,69.73 ,79.44 ,64.36 ,55.70 ,547.40 ,11.30 ,848.00 ,1.00 ,1.00 
181,72.17 ,72.14 ,74.81 ,45.28 ,65.64 ,57.73 ,1720.80 ,6.30 ,6.30 ,1.00 ,0.00 
182,69.30 ,62.56 ,63.97 ,69.69 ,72.76 ,74.57 ,1330.50 ,13.10 ,734.00 ,1.00 ,0.00 
183,69.29 ,74.21 ,68.73 ,52.27 ,63.26 ,80.05 ,4816.80 ,10.10 ,1256.00 ,1.00 ,0.00 
184,69.23 ,61.81 ,69.79 ,54.68 ,64.49 ,52.72 ,1945.40 ,6.50 ,1831.00 ,1.00 ,0.00 
185,69.17 ,31.32 ,71.58 ,57.86 ,74.09 ,80.55 ,2198.90 ,13.10 ,1185.00 ,1.00 ,0.00 
186,69.09 ,72.04 ,68.04 ,66.73 ,51.76 ,66.32 ,365.80 ,1.60 ,554.00 ,1.00 ,1.00 
187,69.08 ,55.41 ,71.43 ,39.61 ,76.33 ,85.54 ,877.50 ,26.50 ,6012.00 ,2.00 ,1.00 
188,69.03 ,62.13 ,67.84 ,53.39 ,72.15 ,81.62 ,2432.40 ,14.60 ,2124.00 ,1.00 ,0.00 
189,68.98 ,67.25 ,63.96 ,78.59 ,58.73 ,46.23 ,1051.30 ,1.60 ,1257.00 ,1.00 ,1.00 
190,68.87 ,58.49 ,67.86 ,56.25 ,70.58 ,84.03 ,727.30 ,10.10 ,4687.00 ,2.00 ,1.00 
191,68.77 ,75.27 ,64.50 ,77.14 ,51.35 ,56.14 ,2537.90 ,6.70 ,1990.00 ,1.00 ,1.00 
192,70.67 ,74.77 ,72.39 ,32.45 ,76.85 ,56.71 ,1455.40 ,4.10 ,8517.00 ,1.00 ,1.00 
193,70.39 ,53.10 ,68.08 ,78.65 ,60.57 ,83.52 ,947.20 ,25.60 ,2807.00 ,1.00 ,1.00 
194,70.34 ,73.05 ,70.75 ,55.96 ,58.93 ,76.64 ,4490.50 ,1.90 ,2435.00 ,1.00 ,0.00 
195,70.31 ,64.72 ,64.20 ,75.48 ,71.00 ,73.72 ,1326.50 ,10.30 ,1983.00 ,1.00 ,0.00 
196,70.28 ,63.52 ,70.52 ,55.87 ,65.92 ,77.45 ,918.90 ,17.20 ,3500.00 ,1.00 ,1.00 
197,70.23 ,54.26 ,72.05 ,42.51 ,78.99 ,77.74 ,7688.50 ,86.40 ,898.00 ,1.00 ,0.00 
198,69.96 ,75.56 ,70.76 ,62.40 ,48.37 ,64.28 ,5311.40 ,35.90 ,6100.00 ,1.00 ,1.00 
199,69.60 ,65.85 ,69.52 ,47.90 ,73.91 ,79.57 ,1241.20 ,40.40 ,4320.00 ,1.00 ,1.00 
200,69.70 ,63.91 ,67.17 ,77.93 ,53.30 ,73.17 ,6654.40 ,209.00 ,9437.00 ,2.00 ,1.00 
201,69.30 ,67.79 ,69.40 ,51.59 ,65.65 ,78.72 ,940.90 ,7.10 ,9666.00 ,1.00 ,1.00 
202,71.61 ,62.11 ,70.05 ,63.08 ,70.00 ,82.92 ,2037.30 ,9.60 ,2624.00 ,1.00 ,0.00 
203,71.17 ,58.30 ,74.83 ,32.05 ,81.05 ,86.74 ,1175.70 ,97.30 ,1810.00 ,1.00 ,1.00 
204,71.08 ,67.95 ,72.98 ,42.49 ,71.56 ,78.94 ,1168.30 ,7.30 ,3689.00 ,2.00 ,0.00 
205,71.04 ,52.99 ,74.84 ,51.46 ,64.89 ,67.05 ,802.40 ,1.00 ,323.00 ,1.00 ,0.00 
206,71.01 ,63.70 ,62.44 ,87.99 ,87.99 ,78.40 ,1609.30 ,32.00 ,3661.00 ,1.00 ,1.00 
207,70.98 ,64.60 ,67.43 ,65.23 ,72.68 ,73.34 ,2147.30 ,5.70 ,1264.00 ,1.00 ,0.00 
208,70.96 ,24.19 ,72.93 ,74.38 ,68.34 ,82.92 ,1057.10 ,9.20 ,985.00 ,1.00 ,0.00 
209,70.75 ,64.74 ,69.78 ,57.09 ,69.85 ,82.88 ,1849.50 ,28.00 ,3385.00 ,1.00 ,1.00 
210,70.73 ,63.07 ,68.32 ,70.89 ,62.86 ,76.74 ,650.90 ,8.80 ,986.00 ,1.00 ,0.00 
211,70.68 ,79.15 ,71.70 ,43.08 ,66.09 ,77.06 ,3119.90 ,43.90 ,4049.00 ,2.00 ,1.00 
212,72.16 ,73.39 ,70.67 ,63.84 ,62.74 ,,4256.20 ,6.10 ,,1.00 ,0.00 
213,72.12 ,67.48 ,71.75 ,46.19 ,79.70 ,85.68 ,654.60 ,35.70 ,2114.00 ,2.00 ,0.00 
214,71.63 ,68.82 ,68.68 ,75.62 ,58.54 ,74.16 ,1324.70 ,8.80 ,4959.00 ,1.00 ,1.00 
215,66.26 ,51.57 ,66.33 ,52.45 ,68.57 ,57.74 ,600.50 ,7.90 ,977.00 ,1.00 ,0.00 
216,66.12 ,69.46 ,64.89 ,61.79 ,52.19 ,72.71 ,1541.60 ,5.70 ,3070.00 ,1.00 ,1.00 
217,66.11 ,46.83 ,65.26 ,54.70 ,72.82 ,81.79 ,1755.30 ,15.80 ,1976.00 ,1.00 ,0.00 
218,65.89 ,30.24 ,71.81 ,60.02 ,50.95 ,,,,,1.00 ,0.00 
219,65.68 ,50.68 ,69.68 ,41.89 ,62.64 ,79.85 ,4062.00 ,1.10 ,3124.00 ,1.00 ,0.00 
220,65.61 ,56.74 ,62.47 ,50.05 ,78.78 ,77.43 ,2722.70 ,219.00 ,1778.00 ,2.00 ,0.00 
221,65.55 ,78.30 ,62.09 ,58.48 ,57.17 ,69.11 ,921.00 ,4.30 ,832.00 ,1.00 ,0.00 
222,65.55 ,61.22 ,65.86 ,52.95 ,58.97 ,79.03 ,1505.60 ,25.60 ,2727.00 ,1.00 ,1.00 
223,65.53 ,78.06 ,69.81 ,26.58 ,58.21 ,64.63 ,1414.20 ,0.66 ,389.00 ,1.00 ,0.00 
224,65.35 ,69.06 ,67.28 ,22.16 ,77.61 ,59.07 ,739.70 ,23.70 ,2324.00 ,2.00 ,0.00 
225,67.13 ,30.55 ,67.62 ,62.81 ,68.32 ,77.41 ,1381.80 ,51.00 ,9827.00 ,1.00 ,1.00 
226,66.98 ,64.65 ,63.13 ,54.14 ,72.05 ,76.64 ,1478.00 ,4.90 ,4655.00 ,1.00 ,1.00 
227,66.92 ,78.04 ,71.51 ,24.09 ,62.71 ,76.20 ,2212.50 ,4.80 ,1655.00 ,2.00 ,0.00 
228,66.77 ,57.90 ,62.13 ,70.90 ,65.92 ,55.91 ,1664.10 ,2.80 ,74.00 ,1.00 ,0.00 
229,66.69 ,62.01 ,72.75 ,44.28 ,46.79 ,12.28 ,2886.70 ,3.40 ,430.00 ,1.00 ,0.00 
230,66.60 ,67.05 ,69.49 ,30.08 ,70.12 ,80.41 ,6347.80 ,122.40 ,1556.00 ,1.00 ,1.00 
231,66.59 ,64.18 ,66.68 ,50.57 ,62.74 ,79.95 ,1041.30 ,3.60 ,765.00 ,1.00 ,0.00 
232,66.46 ,30.55 ,67.62 ,62.81 ,68.32 ,77.54 ,372.20 ,2.40 ,609.00 ,1.00 ,0.00 
233,66.44 ,64.65 ,63.13 ,54.14 ,72.05 ,81.14 ,1757.50 ,3.50 ,1206.00 ,1.00 ,0.00 
234,66.30 ,46.58 ,62.34 ,70.67 ,69.84 ,68.79 ,1341.60 ,1.30 ,681.00 ,1.00 ,0.00 
235,68.73 ,51.10 ,65.86 ,63.71 ,75.20 ,83.47 ,2073.60 ,23.60 ,4576.00 ,1.00 ,0.00 
236,68.17 ,58.62 ,65.10 ,54.41 ,78.93 ,79.64 ,1497.50 ,13.30 ,4435.00 ,1.00 ,0.00 
237,68.16 ,57.91 ,68.93 ,42.27 ,76.19 ,88.72 ,1628.30 ,136.00 ,2109.00 ,2.00 ,0.00 
238,68.07 ,57.60 ,67.87 ,50.49 ,71.80 ,76.19 ,3345.20 ,2.00 ,554.00 ,1.00 ,0.00 
239,67.99 ,76.62 ,63.93 ,53.43 ,71.41 ,76.79 ,471.00 ,4.20 ,456.00 ,1.00 ,0.00 
240,67.89 ,75.59 ,65.35 ,68.91 ,50.33 ,66.41 ,1272.30 ,1.50 ,508.00 ,1.00 ,0.00 
241,67.89 ,63.61 ,62.88 ,70.44 ,66.65 ,55.00 ,2035.00 ,39.50 ,403.00 ,1.00 ,1.00 
242,67.82 ,44.56 ,68.81 ,69.88 ,55.79 ,43.75 ,270.90 ,0.32 ,3914.00 ,1.00 ,0.00 
243,67.78 ,68.77 ,69.10 ,34.22 ,73.88 ,80.46 ,2118.10 ,11.30 ,2857.00 ,1.00 ,0.00 
244,67.71 ,41.90 ,65.13 ,74.07 ,67.38 ,77.54 ,985.60 ,10.40 ,962.00 ,1.00 ,0.00 
245,69.98 ,62.38 ,71.20 ,44.95 ,72.96 ,87.73 ,1325.70 ,29.00 ,2596.00 ,1.00 ,0.00 
246,69.58 ,71.32 ,71.63 ,50.47 ,57.25 ,75.73 ,6732.20 ,10.90 ,4350.00 ,1.00 ,1.00 
247,64.83 ,72.08 ,57.97 ,76.25 ,55.45 ,,,,,1.00 ,0.00 
248,64.75 ,64.43 ,71.21 ,10.51 ,72.84 ,78.51 ,1964.20 ,20.00 ,2922.00 ,2.00 ,0.00 
249,64.75 ,62.99 ,60.87 ,54.76 ,70.83 ,81.31 ,1211.20 ,2.20 ,1039.00 ,1.00 ,0.00 
250,64.74 ,62.11 ,61.18 ,61.69 ,63.26 ,82.18 ,641.90 ,2.30 ,1303.00 ,1.00 ,0.00 
251,64.70 ,64.51 ,64.76 ,47.52 ,61.25 ,74.65 ,1308.50 ,0.74 ,255.00 ,1.00 ,0.00 
252,64.62 ,64.26 ,59.82 ,57.36 ,70.78 ,73.33 ,933.00 ,1.60 ,203.00 ,1.00 ,0.00 
253,64.54 ,62.88 ,65.87 ,48.10 ,56.30 ,65.17 ,929.00 ,2.10 ,2577.00 ,1.00 ,0.00 
254,64.26 ,57.66 ,60.99 ,53.73 ,71.88 ,76.59 ,1555.40 ,3.90 ,589.00 ,1.00 ,0.00 
255,64.22 ,62.85 ,59.65 ,52.19 ,75.07 ,74.31 ,1307.20 ,5.40 ,1004.00 ,1.00 ,0.00 
256,64.21 ,68.00 ,61.08 ,52.14 ,65.87 ,79.52 ,1647.40 ,11.50 ,635.00 ,1.00 ,0.00 
257,65.16 ,60.05 ,63.44 ,49.60 ,70.28 ,65.39 ,1010.00 ,2.00 ,383.00 ,2.00 ,0.00 
258,65.08 ,62.85 ,64.71 ,40.18 ,72.24 ,76.41 ,565.20 ,5.90 ,1517.00 ,2.00 ,0.00 
259,65.06 ,49.62 ,67.32 ,40.24 ,70.53 ,89.46 ,2458.60 ,6.20 ,5007.00 ,2.00 ,0.00 
260,65.02 ,54.67 ,58.15 ,75.38 ,68.39 ,78.09 ,1134.30 ,4.10 ,2934.00 ,1.00 ,0.00 
261,65.01 ,61.43 ,65.92 ,42.01 ,66.12 ,73.45 ,2037.30 ,0.78 ,4310.00 ,1.00 ,0.00 
262,64.98 ,44.08 ,66.95 ,39.90 ,75.45 ,79.71 ,1136.00 ,4.90 ,909.00 ,1.00 ,0.00 
263,64.97 ,51.38 ,64.22 ,47.40 ,73.98 ,72.54 ,858.40 ,0.69 ,3781.00 ,1.00 ,0.00 
264,66.59 ,64.18 ,66.68 ,50.57 ,62.74 ,79.95 ,1041.30 ,3.60 ,765.00 ,1.00 ,0.00 
265,68.10 ,59.49 ,66.22 ,97.80 ,24.28 ,62.15 ,185.20 ,0.13 ,828.00 ,1.00 ,1.00 
266,71.26 ,58.72 ,73.54 ,40.21 ,78.92 ,83.15 ,1907.70 ,65.80 ,2474.00 ,2.00 ,1.00 
267,71.25 ,69.19 ,71.27 ,45.82 ,75.35 ,68.75 ,1240.60 ,9.70 ,3548.00 ,2.00 ,1.00 
268,71.09 ,37.24 ,77.84 ,48.03 ,67.13 ,,350.30 ,,8245.00 ,2.00 ,1.00 
269,70.68 ,79.15 ,71.70 ,43.08 ,66.09 ,77.06 ,3119.90 ,43.90 ,4049.00 ,2.00 ,1.00 
270,69.73 ,54.17 ,72.08 ,45.97 ,72.34 ,76.60 ,1201.20 ,30.40 ,1809.00 ,2.00 ,1.00 
271,69.19 ,56.76 ,68.66 ,49.49 ,77.34 ,75.78 ,900.10 ,14.20 ,1547.00 ,2.00 ,0.00 
272,69.16 ,47.25 ,76.82 ,23.87 ,76.49 ,94.63 ,1554.00 ,1615.00 ,7915.00 ,2.00 ,1.00 
273,69.04 ,52.34 ,69.68 ,54.62 ,70.12 ,64.53 ,1164.50 ,59.90 ,14000.00 ,2.00 ,1.00 
274,68.98 ,23.73 ,80.20 ,22.43 ,78.95 ,93.33 ,93.33 ,2105.00 ,10000.00 ,2.00 ,1.00 
275,68.94 ,54.24 ,75.41 ,20.26 ,79.69 ,91.76 ,2060.70 ,2544.00 ,6640.00 ,2.00 ,1.00 
276,68.79 ,47.78 ,69.14 ,57.31 ,70.99 ,85.71 ,2031.90 ,94.60 ,925.00 ,2.00 ,1.00 
277,68.48 ,38.95 ,76.40 ,26.20 ,77.02 ,91.49 ,1563.20 ,1062.00 ,8003.00 ,2.00 ,1.00 
278,68.48 ,45.90 ,67.52 ,55.88 ,78.23 ,82.31 ,939.80 ,109.00 ,6064.00 ,2.00 ,0.00 
279,68.34 ,73.00 ,66.13 ,52.90 ,67.82 ,84.26 ,1223.20 ,34.40 ,3218.00 ,2.00 ,1.00 
280,68.27 ,70.05 ,67.82 ,48.47 ,67.01 ,56.70 ,2501.30 ,173.00 ,4678.00 ,2.00 ,1.00 
281,68.26 ,56.81 ,65.92 ,65.35 ,66.50 ,79.09 ,2056.00 ,47.80 ,2489.00 ,2.00 ,1.00 
282,68.20 ,62.62 ,73.67 ,14.42 ,82.14 ,65.60 ,3076.00 ,155.00 ,9874.00 ,2.00 ,1.00 
283,68.09 ,63.14 ,73.48 ,19.97 ,76.33 ,90.77 ,765.60 ,16.70 ,610.00 ,2.00 ,0.00 
284,68.06 ,64.93 ,71.67 ,27.70 ,74.45 ,87.61 ,727.20 ,22.40 ,5913.00 ,2.00 ,1.00 
285,67.30 ,58.13 ,66.84 ,63.95 ,57.21 ,64.44 ,1333.20 ,3.00 ,2109.00 ,1.00 ,1.00 
286,67.03 ,60.35 ,67.19 ,43.11 ,73.50 ,73.88 ,3265.90 ,24.10 ,727.00 ,2.00 ,1.00 
287,66.85 ,60.31 ,68.64 ,45.82 ,63.83 ,76.19 ,1015.00 ,7.70 ,2604.00 ,2.00 ,0.00 
288,66.77 ,75.68 ,75.79 ,21.01 ,49.28 ,62.64 ,3117.00 ,3.10 ,3549.00 ,1.00 ,1.00 
289,66.75 ,69.49 ,60.57 ,55.63 ,79.56 ,74.42 ,1523.50 ,131.00 ,8420.00 ,2.00 ,1.00 
290,66.71 ,53.01 ,70.07 ,61.13 ,46.79 ,14.29 ,3904.70 ,64.90 ,3311.00 ,2.00 ,1.00 
291,66.64 ,40.66 ,69.22 ,37.36 ,81.78 ,78.89 ,341.40 ,334.00 ,3248.00 ,2.00 ,1.00 
292,66.52 ,63.93 ,65.91 ,48.49 ,67.64 ,59.41 ,2808.60 ,27.70 ,2286.00 ,2.00 ,1.00 
293,66.29 ,68.21 ,67.23 ,51.62 ,54.92 ,77.92 ,1649.70 ,3.00 ,827.00 ,2.00 ,1.00 
294,66.07 ,41.95 ,63.49 ,63.17 ,74.42 ,56.93 ,1246.70 ,83.90 ,5945.00 ,2.00 ,0.00 
295,66.03 ,68.92 ,64.20 ,54.98 ,61.50 ,65.07 ,1267.30 ,6.00 ,515.00 ,2.00 ,1.00 
296,66.01 ,59.83 ,68.54 ,29.74 ,75.34 ,86.68 ,2038.80 ,289.00 ,2.40 ,2.00 ,1.00 
297,65.86 ,85.28 ,64.65 ,38.99 ,63.70 ,52.86 ,2844.10 ,5.10 ,3714.00 ,2.00 ,1.00 
298,65.33 ,63.54 ,68.99 ,15.99 ,80.47 ,86.37 ,3456.00 ,86.50 ,2984.00 ,2.00 ,0.00 
299,65.32 ,59.87 ,69.81 ,13.57 ,81.98 ,63.74 ,1039.10 ,126.00 ,746.00 ,2.00 ,1.00 
300,64.83 ,64.87 ,60.62 ,51.92 ,74.01 ,81.16 ,1223.80 ,48.50 ,1133.00 ,2.00 ,1.00 
301,64.72 ,69.87 ,66.47 ,27.44 ,71.00 ,81.48 ,1055.20 ,12.20 ,3161.00 ,2.00 ,1.00 
302,64.56 ,53.32 ,67.10 ,35.33 ,70.61 ,73.35 ,978.70 ,0.95 ,4105.00 ,2.00 ,1.00 
303,64.49 ,49.82 ,66.15 ,41.58 ,70.05 ,58.05 ,1010.10 ,122.00 ,4718.00 ,2.00 ,0.00 
304,64.39 ,61.28 ,69.71 ,27.21 ,61.92 ,78.12 ,2352.80 ,20.50 ,9008.00 ,2.00 ,1.00 
305,64.21 ,49.84 ,69.83 ,26.85 ,68.26 ,83.27 ,362.10 ,7.40 ,5299.00 ,2.00 ,1.00 
306,64.16 ,29.94 ,67.37 ,52.16 ,65.76 ,76.26 ,2843.00 ,8.80 ,3236.00 ,2.00 ,1.00 
307,64.01 ,58.00 ,65.78 ,53.08 ,51.53 ,,29.60 ,,326.00 ,2.00 ,1.00 
308,64.01 ,65.19 ,63.33 ,37.43 ,72.21 ,77.48 ,1778.60 ,49.30 ,6275.00 ,2.00 ,1.00 
309,63.92 ,64.10 ,55.52 ,81.17 ,59.83 ,,1158.20 ,1.80 ,,2.00 ,1.00 
